gene	alias	accession	uniprot_id	sporulation_stage	occurs_in	gene_from_species	stage_regulon-GalperinMY2022	Conservation-GalperinMY2022	comment
spo0A		AAA22786.1	P06534	0	all	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
sigH	spo0H	AAA22756.1	P17869	0	all	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spo0J	parB/spo0JB	BAA05226.1	P26497	0	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
obgE		QJP89512.1	A0A6M4JMW3	0	all	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spo0E		CAA68583.1	P05043	0	most_clostridia	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
rapA	spo0L	CAA40007.1	Q00828	0	most_clostridia	Bacillus subtilis	NA	NA	
yjcM		CAB13048.1	O31635	0	most_clostridia	Bacillus subtilis	NA	NA	
yjbF		CAB13010.1	O31604	0	most_clostridia	Bacillus subtilis	NA	NA	
yyaA		CAA44406.1	P37524	0	most_clostridia	Bacillus subtilis	NA	NA	
spo0M		BAA32616.1	P71088	0	some_clostridia	Bacillus subtilis	NA	NA	
spo0F		CAA27217.1	P06628	0	some_clostridia	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
ytxC		CAA28635.1	P06569	0	some_clostridia	Bacillus subtilis	NA	NA	
spoIIAA		AAA22789.1	P06569	II	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
spoIIAB		AAA22790.1	P10728	II	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
sigF	spoIIAC	AAA22788.1	P07860	II	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
spoIID		AAA22793.1	P07372	II	all	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIE	spoIIH	BAA05299.1	P37475	II	all	Bacillus subtilis	onset_and_checkpoints	universal-firmicutes	
spoIIGA		CAA35225.1	P13801	II	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
sigE	spoIIGB	CAA25620.1	P06222	II	all	Bacillus subtilis	spo0A_regulon	universal-firmicutes	
spoIIM		AAA75553.1	P37873	II	all	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIP		BAA04542.1	P37968	II	all	Bacillus subtilis	engulfment	universal-firmicutes	
spoIIR		CAA86103.1	P39151	II	all	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
bofA		CAA34880.1	P24282	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
spoIVFB		CAA42107.1	P26937	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoVAEA		BAA12660.1	P40870	III-VI	most_clostridia	Bacillus subtilis	NA	NA	
spoVAF		BAA12661.1	P31845	III-VI	most_clostridia	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
spoVE		CAA35783.1	P07373	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
dpaA	spoVFA	AAA22381.1	Q04809	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
dpaB	spoVFB	AAA22382.1	Q04810	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
ald	spoVN	AAA16038.1	Q08352	III-VI	most_clostridia	Bacillus subtilis	onset_and_checkpoints	mostly_in_Bacilli	
spoVR		AAA22811.1	P37875	III-VI	most_clostridia	Bacillus subtilis	NA	NA	
sspA		AAA22833.1	P04831	III-VI	most_clostridia	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
ydcC		BAA19300.1	P96619	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
yhbH		CAB12726.1	P45742	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
yqfU/yitE		BAA12498.1	P54478	III-VI	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ytrH		CAX52677.1	C0H3P8	III-VI	most_clostridia	Bacillus subtilis	NA	NA	
yunB	fisB	CAB15225.1	O32131	III-VI	most_clostridia	Bacillus subtilis	engulfment	mostly_in_Bacilli	
spoVAA		BAA12656.1	P40866	III-VI	some_clostridia	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
spoVAB		BAA12657.1	P40867	III-VI	some_clostridia	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
yfhM/yisY		BAA24479.1	O31581	III-VI	some_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ykuD/yciB		CAA10867.1	O34816	III-VI	some_clostridia	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
ypqA		AAB38466.1	P50836	III-VI	some_clostridia	Bacillus subtilis	NA	NA	
yqfS	nfo	BAA12496.1	P54476	III-VI	some_clostridia	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
ytrI		AAC00404.1	O34460	III-VI	some_clostridia	Bacillus subtilis	NA	NA	
spoIVA		AAA22802.1	P35149	spore_coat	all	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
alr	yncD	AAB41097.1	P94494	spore_coat	all	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoVM		AAC36809.1	P37817	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
cotJC/yjqC		AAB17590.1	Q45538	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
cotF		AAA22813.1	P23261	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
lipC	ycsK	BAA07363.1	P42969	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
yaaH		BAA05252.1	P37531	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yabG		BAA05278.1	P37548	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
ydhD/sleL		BAA19695.1	O05495	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
yhaX		CAA74455.1	O07539	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
yhbA		CAB07527.1	P97030	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhbB		CAB07515.1	O31589	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhcN		CAA65698.1	P54598	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhcQ		CAA65701.1	P54601	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
yhjR		CAA74480.1	O07572	spore_coat	most_clostridia	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
yjqC		AAB87517.1	O34423	spore_coat	most_clostridia	Bacillus subtilis	NA	NA	
cotA		AAB62305.1	P07788	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
cotC		CAA29167.1	P07790	spore_coat	some_clostridia	Bacillus subtilis	NA	NA	
